"","4","6","8","10","12","Complexity","Type"
"Bacteroides pectinophilus",-0.468010835756119,-0.623202701386065,-0.778394567016011,-0.933586432645957,-1.0887782982759,0,"Core"
"Clostridium aerotolerans",0.433228682671539,0.329095107684785,0.22496153269803,0.120827957711276,0.0166943827245212,0,"Core"
"Clostridium aminophilum",1.24134003381975,1.12273752128637,1.00413500875298,0.885532496219588,0.766929983686199,0,"Core"
"Clostridium asparagiforme",1.25421599111634,1.20450066239551,1.15478533367468,1.10507000495386,1.05535467623303,0,"Core"
"Clostridium bolteae",1.76136194023641,1.69274262626516,1.62412331229391,1.55550399832266,1.48688468435141,0,"Core"
"Clostridium cellobioparum",-0.805750310241573,-0.877651951786984,-0.949553593332396,-1.02145523487781,-1.09335687642322,0,"Core"
"Clostridium cellulolyticum",-0.979995594183682,-1.04857075652462,-1.11714591886556,-1.18572108120651,-1.25429624354745,0,"Core"
"Clostridium cellulosi",-0.146107281618355,-0.226183522263686,-0.306259762909016,-0.386336003554346,-0.466412244199676,0,"Core"
"Clostridium citroniae",0.930660757293108,0.870100766463688,0.809540775634268,0.748980784804848,0.688420793975428,0,"Core"
"Clostridium clariflavum",-0.174217100421273,-0.190256314940374,-0.206295529459476,-0.222334743978577,-0.238373958497678,0,"Core"
"Clostridium clostridioforme",3.15474040219016,3.09455236620702,3.03436433022387,2.97417629424072,2.91398825825758,0,"Core"
"Clostridium cocleatum",-0.486699451684808,-0.566871994576434,-0.647044537468059,-0.727217080359685,-0.80738962325131,0,"Core"
"Clostridium fimetarium",1.19985766211955,1.12204142409706,1.04422518607458,0.966408948052095,0.888592710029612,0,"Core"
"Clostridium glycyrrhizinilyticum",-0.283880835389263,-0.437711934514463,-0.591543033639662,-0.745374132764862,-0.899205231890062,0,"Core"
"Clostridium hiranonis",-0.602050625549476,-0.678210987916822,-0.754371350284169,-0.830531712651515,-0.906692075018862,0,"Core"
"Clostridium hungatei",0.193558161674414,0.0813752811607938,-0.0308075993528268,-0.142990479866447,-0.255173360380068,0,"Core"
"Clostridium hylemonae",1.26293129526641,1.20007122101476,1.13721114676312,1.07435107251147,1.01149099825983,0,"Core"
"Clostridium indolis",-0.459179872580771,-0.538471477402325,-0.61776308222388,-0.697054687045435,-0.776346291866989,0,"Core"
