"","4","6","8","10","12","Complexity","Type"
"Bacteroides pectinophilus",-0.934839291872135,-0.200757520513514,-0.39520294471768,-0.832828693670769,-1.13992290180486,1,"Variable"
"Clostridium aerotolerans",0.0359915662698012,0.651168635825923,0.569349100104117,0.163028583609389,-0.00819266209313696,1,"Variable"
"Clostridium aminophilum",0.798259623586182,1.45447117410379,1.37874325550238,1.00905327916786,0.783794763861643,1,"Variable"
"Clostridium asparagiforme",0.939901304640351,1.6629911568012,1.63686492763547,1.21675615704406,0.919024339142608,1,"Variable"
"Clostridium bolteae",1.33450911145616,1.9915861693517,1.99233722227015,1.64232536817643,1.35735737503085,1,"Variable"
"Clostridium cellobioparum",-1.09020545052807,-0.395076966976536,-0.50313194172063,-0.851634950505985,-1.07513018810435,2,"Variable"
"Clostridium cellulolyticum",-1.02287325933393,-1.0098417640648,-0.996810268795675,-0.983778773526545,-0.970747278257415,0,"Core"
"Clostridium cellulosi",-0.553915221297226,0.0486139081391495,-0.0278961148694553,-0.214216692856495,-0.356407025332165,1,"Variable"
"Clostridium citroniae",0.45861125233133,1.22207886144776,1.19644143151532,0.788833323308705,0.573600001005249,1,"Variable"
"Clostridium clariflavum",-0.405326583273643,-0.0255229039334242,-0.0522938067384202,-0.188396760311146,-0.396547414312336,1,"Variable"
"Clostridium clostridioforme",2.80430439957922,3.50993830852803,3.45512987158374,3.06438624368833,2.82224249052899,1,"Variable"
"Clostridium cocleatum",-0.502173431400905,-0.52650965928598,-0.550845887171055,-0.57518211505613,-0.599518342941205,0,"Core"
"Clostridium fimetarium",0.727441504262475,1.43105263645266,1.37868478786275,1.03985197463939,0.761369907498857,1,"Variable"
"Clostridium glycyrrhizinilyticum",-0.475963062007033,-0.542280391593022,-0.608597721179011,-0.674915050765,-0.741232380350989,0,"Core"
"Clostridium hiranonis",-0.561228969256979,-0.617670860452391,-0.674112751647803,-0.730554642843215,-0.786996534038627,0,"Core"
"Clostridium hungatei",-0.279350575770682,0.439523096628468,0.335680994363508,-0.0872254499539133,-0.356422154885767,1,"Variable"
"Clostridium hylemonae",0.974549121089416,1.44925040271442,1.39934045390258,1.1377788607071,0.973321394830229,1,"Variable"
"Clostridium indolis",-1.00746299703446,-0.188978638717585,-0.262722410011026,-0.721150534700309,-0.891116964604536,1,"Variable"
"Clostridium innocuum",-0.576274415665307,-0.125065451797129,-0.223702203860168,-0.533966124619454,-0.701658094890351,1,"Variable"
"Clostridium josui",-0.815079296408018,-0.839912021259067,-0.864744746110116,-0.889577470961165,-0.914410195812214,0,"Core"
"Clostridium lactatifermentans",0.505286710642507,1.35861312397977,1.21502023721719,0.854872722450573,0.571575403742218,1,"Variable"
"Clostridium leptum",-0.483397480217938,-0.0119651603387305,-0.002520908361623,-0.220601046278823,-0.457107042248372,1,"Variable"
"Clostridium methoxybenzovorans",0.601851603594293,1.08999288600244,1.0336790750789,0.657273006764754,0.30658789985883,1,"Variable"
"Clostridium methylpentosum",0.87258177188518,1.4568610765325,1.42389747819324,1.1309636368406,0.883096010389789,1,"Variable"
"Clostridium neopropionicum",-0.427747646376219,0.299900235452282,0.234962838514468,0.0724434375510228,-0.131000363849028,2,"Variable"
"Clostridium papyrosolvens",-0.666355901020345,-0.000330815147898733,-0.0801752774668805,-0.336504170310461,-0.480585645232102,1,"Variable"
"Clostridium polysaccharolyticum",0.931219533565084,1.66978921107963,1.3959258238694,0.902996386467707,0.655535918969878,1,"Variable"
"Clostridium populeti",1.13116365921858,1.91921196034185,1.67822000243586,1.25481670610688,0.991652552689808,1,"Variable"
"Clostridium propionicum",-0.227937436672467,0.4600773817907,0.375546274960532,0.188131261051015,0.0257862952294707,1,"Variable"
"Clostridium purinilyticum",-1.49055079519473,-0.9273129653794,-0.952225154082505,-1.09408279542712,-1.30996758307042,1,"Variable"
"Clostridium saccharogumia",-0.826870054486449,-0.337033355265865,-0.278890689911635,-0.412670168621335,-0.678380457474549,1,"Variable"
"Clostridium saccharolyticum",1.07107954581101,1.79479340801533,1.69448950587363,1.28151408611105,1.09538554248839,1,"Variable"
